iter	Passed	Remaining
222	315	1098
223	315	1093
224	316	1089
225	317	1085
226	317	1081
227	318	1077
228	318	1073
229	319	1069
230	320	1065
231	320	1061
232	321	1057
233	321	1053
234	322	1048
235	322	1044
236	323	1040
237	323	1036
238	324	1032
239	324	1028
240	325	1024
241	325	1020
242	326	1016
243	326	1012
244	327	1009
245	328	1005
246	328	1001
247	329	997
248	329	994
249	330	990
250	330	986
251	331	983
252	331	979
253	332	975
254	332	972
255	333	968
256	333	965
257	334	961
258	334	958
259	335	954
260	336	951
261	336	947
262	337	944
263	337	941
264	338	937
265	338	934
266	339	931
267	339	927
268	340	924
269	340	921
270	341	918
271	341	915
272	342	911
273	343	908
274	343	905
275	344	902
276	344	899
277	345	896
278	345	893
279	346	890
280	346	887
281	347	884
282	347	881
283	348	878
284	348	875
285	349	872
286	349	869
287	350	866
288	350	863
289	351	860
290	352	857
291	352	854
292	353	852
293	353	849
294	354	846
295	354	843
296	355	840
297	355	838
298	356	835
299	356	832
300	357	829
301	357	827
302	358	824
303	359	822
304	359	819
305	360	817
306	360	814
307	361	812
308	361	809
309	362	806
310	363	804
311	363	801
312	364	799
313	364	797
314	365	794
315	365	792
316	366	789
317	367	787
318	367	785
319	368	783
320	369	780
321	369	778
322	370	776
323	371	774
324	371	772
325	372	770
326	373	768
327	374	766
328	374	764
329	375	762
330	375	759
331	376	757
332	377	755
333	377	753
334	378	751
335	379	749
336	379	747
337	380	745
338	381	743
339	381	741
340	382	738
341	382	736
342	383	734
343	384	732
344	384	730
345	385	728
346	386	726
347	386	724
348	387	722
349	387	720
350	388	718
351	389	716
352	389	714
353	390	712
354	390	710
355	391	708
356	392	707
357	393	705
358	393	703
359	394	701
360	395	699
361	396	698
362	396	696
363	397	694
364	397	692
365	398	690
366	399	688
367	399	686
368	400	684
369	401	683
370	402	681
371	402	679
372	403	677
373	403	676
374	404	674
375	405	672
376	405	670
377	406	668
378	407	666
379	407	665
380	408	663
381	408	661
382	409	659
383	410	657
384	410	656
385	411	654
386	411	652
387	412	650
388	413	649
389	413	647
390	414	645
391	415	643
392	415	642
393	416	640
394	417	638
395	417	637
396	418	635
397	418	633
398	419	632
399	420	630
400	420	628
401	421	627
402	422	625
403	422	623
404	423	622
405	424	620
406	424	618
407	425	617
408	425	615
409	426	613
410	427	612
411	427	610
412	428	608
413	429	607
414	430	606
415	430	604
416	431	603
417	432	601
418	432	600
419	433	598
420	433	596
421	434	595
422	435	593
423	435	591
424	436	590
425	436	588
426	437	587
427	438	585
428	438	583
429	439	582
430	439	580
431	440	579
432	441	577
433	441	576
434	442	574
435	442	572
436	443	571
437	444	570
438	444	568
439	445	567
440	446	565
441	446	564
442	447	562
443	448	561
444	448	559
445	449	558
446	450	556
447	450	555
448	451	553
449	452	552
450	452	551
451	453	549
452	454	548
453	454	546
454	455	545
455	456	544
456	456	542
457	457	541
458	458	540
459	458	538
460	459	537
461	460	536
462	460	534
463	461	533
464	462	531
465	462	530
466	463	528
467	463	527
468	464	525
469	465	524
470	465	523
471	466	521
472	466	520
473	467	518
474	467	517
475	468	515
476	469	514
477	469	512
478	470	511
479	470	509
480	471	508
481	471	506
482	472	505
483	473	504
484	473	502
485	474	501
486	474	500
487	475	498
488	475	497
489	476	495
